Date/Hour CET/CEST;Date/Hour UTC;MBA;Imbalance Purchase Price;Imbalance Sales Price;Up Regulation Price;Down Regulation Price;Value Of Avoided Activation;Incentivising Component;Main Direction of Regulation Power per MBA
01.01.2022/00:00;31.12.2021/23:00;NO1;90;90;132,89;90;;;-1
01.01.2022/01:00;01.01.2022/00:00;NO1;98;98;129,3;98;;;-1
01.01.2022/02:00;01.01.2022/01:00;NO1;132,08;132,08;132,08;132,08;134,71;-2,63;0
01.01.2022/03:00;01.01.2022/02:00;NO1;111,44;111,44;111,44;111,44;115;-3,56;0
01.01.2022/04:00;01.01.2022/03:00;NO1;112,35;112,35;112,35;112,35;109,25;3,1;0
01.01.2022/05:00;01.01.2022/04:00;NO1;113,9;113,9;113,9;113,9;110,5;3,4;0
01.01.2022/06:00;01.01.2022/05:00;NO1;93;93;122,25;93;;;-1
01.01.2022/07:00;01.01.2022/06:00;NO1;83;83;118,58;83;;;-1
01.01.2022/08:00;01.01.2022/07:00;NO1;60;60;118,47;60;;;-1
01.01.2022/09:00;01.01.2022/08:00;NO1;60;60;117,86;60;;;-1
01.01.2022/10:00;01.01.2022/09:00;NO1;83;83;120,03;83;;;-1
01.01.2022/11:00;01.01.2022/10:00;NO1;89;89;117,07;89;;;-1
01.01.2022/12:00;01.01.2022/11:00;NO1;65;65;117,17;65;;;-1
01.01.2022/13:00;01.01.2022/12:00;NO1;50,21;50,21;120,08;50,21;;;-1
01.01.2022/14:00;01.01.2022/13:00;NO1;56;56;124,54;56;;;-1
01.01.2022/15:00;01.01.2022/14:00;NO1;105;105;124,89;105;;;-1
01.01.2022/16:00;01.01.2022/15:00;NO1;102;102;135,59;102;;;-1
01.01.2022/17:00;01.01.2022/16:00;NO1;102;102;149,97;102;;;-1
01.01.2022/18:00;01.01.2022/17:00;NO1;102;102;150,71;102;;;-1
01.01.2022/19:00;01.01.2022/18:00;NO1;80;80;143,81;80;;;-1
01.01.2022/20:00;01.01.2022/19:00;NO1;80;80;140,36;80;;;-1
01.01.2022/21:00;01.01.2022/20:00;NO1;42,95;42,95;139,85;42,95;;;-1
01.01.2022/22:00;01.01.2022/21:00;NO1;42,48;42,48;135,08;42,48;;;-1
01.01.2022/23:00;01.01.2022/22:00;NO1;28;28;123,42;28;;;-1
02.01.2022/00:00;01.01.2022/23:00;NO1;27;27;113,56;27;;;-1
02.01.2022/01:00;02.01.2022/00:00;NO1;111,66;111,66;111,66;111,66;106,5;5,16;0
02.01.2022/02:00;02.01.2022/01:00;NO1;106,53;106,53;106,53;106,53;101,5;5,03;0
02.01.2022/03:00;02.01.2022/02:00;NO1;104,5;104,5;104,5;104,5;101,5;3;0
02.01.2022/04:00;02.01.2022/03:00;NO1;75;75;104,06;75;;;-1
02.01.2022/05:00;02.01.2022/04:00;NO1;27;27;105,86;27;;;-1
02.01.2022/06:00;02.01.2022/05:00;NO1;27;27;111,97;27;;;-1
02.01.2022/07:00;02.01.2022/06:00;NO1;64;64;105,22;64;;;-1
02.01.2022/08:00;02.01.2022/07:00;NO1;70;70;111,53;70;;;-1
02.01.2022/09:00;02.01.2022/08:00;NO1;70;70;115,81;70;;;-1
02.01.2022/10:00;02.01.2022/09:00;NO1;90;90;121,94;90;;;-1
02.01.2022/11:00;02.01.2022/10:00;NO1;121,3;121,3;121,3;121,3;122,75;-1,45;0
02.01.2022/12:00;02.01.2022/11:00;NO1;112,43;112,43;112,43;112,43;116;-3,57;0
02.01.2022/13:00;02.01.2022/12:00;NO1;111,39;111,39;111,39;111,39;115,5;-4,11;0
02.01.2022/14:00;02.01.2022/13:00;NO1;126;126;126;111,48;;;1
02.01.2022/15:00;02.01.2022/14:00;NO1;141;141;141;118,19;;;1
02.01.2022/16:00;02.01.2022/15:00;NO1;140,16;140,16;140,16;122,3;;;1
02.01.2022/17:00;02.01.2022/16:00;NO1;144,5;144,5;144,5;129,79;;;1
02.01.2022/18:00;02.01.2022/17:00;NO1;144,5;144,5;144,5;135,97;;;1
02.01.2022/19:00;02.01.2022/18:00;NO1;144,5;144,5;144,5;90;;;1
02.01.2022/20:00;02.01.2022/19:00;NO1;30;30;116,32;30;;;-1
02.01.2022/21:00;02.01.2022/20:00;NO1;27;27;110,2;27;;;-1
02.01.2022/22:00;02.01.2022/21:00;NO1;27;27;104,81;27;;;-1
02.01.2022/23:00;02.01.2022/22:00;NO1;24,5;24,5;110,16;24,5;;;-1
03.01.2022/00:00;02.01.2022/23:00;NO1;15;15;124,99;15;;;-1
03.01.2022/01:00;03.01.2022/00:00;NO1;15;15;123,41;15;;;-1
03.01.2022/02:00;03.01.2022/01:00;NO1;12;12;122,73;12;;;-1
03.01.2022/03:00;03.01.2022/02:00;NO1;12;12;121,55;12;;;-1
03.01.2022/04:00;03.01.2022/03:00;NO1;15,5;15,5;122,21;15,5;;;-1
03.01.2022/05:00;03.01.2022/04:00;NO1;15,5;15,5;123,57;15,5;;;-1
03.01.2022/06:00;03.01.2022/05:00;NO1;23,82;23,82;120,68;23,82;;;-1
03.01.2022/07:00;03.01.2022/06:00;NO1;26;26;121;26;;;-1
03.01.2022/08:00;03.01.2022/07:00;NO1;100;100;126,6;100;;;-1
03.01.2022/09:00;03.01.2022/08:00;NO1;115,5;115,5;132,56;115,5;;;-1
03.01.2022/10:00;03.01.2022/09:00;NO1;100;100;122,97;100;;;-1
03.01.2022/11:00;03.01.2022/10:00;NO1;123,13;123,13;123,13;115,5;126,07;-2,94;1
03.01.2022/12:00;03.01.2022/11:00;NO1;123,97;123,97;123,97;123,97;126,07;-2,1;0
03.01.2022/13:00;03.01.2022/12:00;NO1;126,67;126,67;126,67;126,67;127,57;-0,9;0
03.01.2022/14:00;03.01.2022/13:00;NO1;133,75;133,75;133,75;133,75;136,58;-2,83;0
03.01.2022/15:00;03.01.2022/14:00;NO1;137,72;137,72;137,72;137,72;139,75;-2,03;0
03.01.2022/16:00;03.01.2022/15:00;NO1;137,48;137,48;137,48;137,48;141,08;-3,6;0
03.01.2022/17:00;03.01.2022/16:00;NO1;143,73;143,73;143,73;143,73;145,25;-1,52;0
03.01.2022/18:00;03.01.2022/17:00;NO1;145,13;145,13;145,13;145,13;147,09;-1,96;0
03.01.2022/19:00;03.01.2022/18:00;NO1;142,81;142,81;142,81;142,81;142;0,81;0
03.01.2022/20:00;03.01.2022/19:00;NO1;142,22;142,22;142,22;142,22;142;0,22;0
03.01.2022/21:00;03.01.2022/20:00;NO1;139,6;139,6;139,6;139,6;141,5;-1,9;0
03.01.2022/22:00;03.01.2022/21:00;NO1;130,79;130,79;130,79;130,79;136,25;-5,46;0
