Date/Hour CET/CEST;Imbalance Purchase Price;Imbalance;Solar;Wind;Consumption Total
01.01.2022/00:00;90;-18,177013;0,007103;143,012268;4792,869828
01.01.2022/01:00;98;-59,943565;0,006957;172,359272;4758,08574
01.01.2022/02:00;132,08;-75,072958;0,005352;151,651271;4699,710585
01.01.2022/03:00;111,44;-63,208075;0,011802;160,572272;4660,590629
01.01.2022/04:00;112,35;-20,137965;0,00687;148,140274;4673,579369
01.01.2022/05:00;113,9;2,829898;0,007361;147,788267;4726,909882
01.01.2022/06:00;93;27,044565;0,004673;126,612263;4857,030848
01.01.2022/07:00;83;81,336011;0,004582;98,503259;4932,794613
01.01.2022/08:00;60;64,83579;0,008858;61,765257;5067,692675
01.01.2022/09:00;60;134,624681;0,005348;46,579256;5178,555808
01.01.2022/10:00;83;107,983001;0,007155;31,795261;5344,532619
01.01.2022/11:00;89;62,791115;0,012957;16,97026;5443,009105
01.01.2022/12:00;65;102,160266;0,011638;34,76226;5461,777621
01.01.2022/13:00;50,21;142,797803;0,007154;59,662264;5432,608459
01.01.2022/14:00;56;60,464067;0,007583;100,916268;5520,141749
01.01.2022/15:00;105;10,729099;0,004855;122,153272;5592,657353
01.01.2022/16:00;102;46,118898;0,010271;138,581274;5723,608623
01.01.2022/17:00;102;59,415635;0,005045;132,380276;5764,442332
01.01.2022/18:00;102;128,22637;0,006447;181,219278;5666,743174
01.01.2022/19:00;80;182,781105;0,008288;190,451272;5539,533323
01.01.2022/20:00;80;95,138804;0,008986;187,490275;5406,236231
01.01.2022/21:00;42,95;82,818672;0,010995;181,885278;5265,106133
01.01.2022/22:00;42,48;76,390662;0,007341;169,192278;5077,110645
01.01.2022/23:00;28;83,003049;0,007812;165,865279;4933,082405
02.01.2022/00:00;27;-101,891323;0,003767;153,636273;4759,141913
02.01.2022/01:00;111,66;-80,343759;0,003884;84,735259;4576,572465
02.01.2022/02:00;106,53;-68,346416;0,003211;43,907255;4483,517701
02.01.2022/03:00;104,5;-67,274526;0,008248;26,980256;4464,900629
02.01.2022/04:00;75;-27,745108;0,003983;29,713253;4409,555695
02.01.2022/05:00;27;-16,066986;0,00235;32,499;4419,316034
02.01.2022/06:00;27;46,226143;0,002093;28,814;4493,40703
02.01.2022/07:00;64;26,064615;0,003478;30,084;4580,526131
02.01.2022/08:00;70;49,980034;0,003281;30,676256;4702,290387
02.01.2022/09:00;70;71,068379;0,006497;31,560259;4848,878085
02.01.2022/10:00;90;114,169444;0,004277;30,924;4974,353688
02.01.2022/11:00;121,3;73,99049;0,006092;27,352;5093,477204
02.01.2022/12:00;112,43;8,225467;0,006589;27,801;5148,657176
02.01.2022/13:00;111,39;-5,082276;0,006479;42,594;5158,720295
02.01.2022/14:00;126;10,797508;0,003301;41,723262;5189,408249
02.01.2022/15:00;141;27,470744;0,005073;49,707269;5301,057149
02.01.2022/16:00;140,16;55,462507;0,002642;64,122266;5421,750681
02.01.2022/17:00;144,5;121,353455;0,003435;73,450267;5397,062737
02.01.2022/18:00;144,5;194,32949;0,003388;85,504271;5290,845745
02.01.2022/19:00;144,5;286,582086;0,004982;114,225273;5181,635913
02.01.2022/20:00;30;248,30152;0,003517;125,277273;5161,200101
02.01.2022/21:00;27;225,097415;0,004471;119,775272;5079,907323
02.01.2022/22:00;27;212,571379;0,007516;127,164274;4932,426194
02.01.2022/23:00;24,5;366,047252;0,003126;134,657271;4747,048809
03.01.2022/00:00;15;307,46564;0,005087;134,148271;4538,806232
03.01.2022/01:00;15;396,799794;0,005279;139,734268;4408,369566
03.01.2022/02:00;12;379,563156;0,003921;146,728269;4328,057524
03.01.2022/03:00;12;392,964655;0,003267;140,263272;4295,678776
03.01.2022/04:00;15,5;375,181906;0,002248;124,162265;4349,336037
03.01.2022/05:00;15,5;242,502894;0,007123;91,336258;4510,314044
03.01.2022/06:00;23,82;224,282791;0,003594;66,666257;4985,711767
03.01.2022/07:00;26;216,82526;0,002726;82,984258;5491,249286
03.01.2022/08:00;100;115,45191;0,002747;83,621261;5750,12365
03.01.2022/09:00;115,5;98,236086;0,003693;80,731264;5783,826052
03.01.2022/10:00;100;27,856121;0,004253;82,412265;5777,549338
03.01.2022/11:00;123,13;-108,527825;0,002839;63,417262;5751,433694
03.01.2022/12:00;123,97;-231,156855;0,014467;46,281259;5732,823005
03.01.2022/13:00;126,67;-175,767481;0,012188;53,49326;5672,768194
03.01.2022/14:00;133,75;-104,044441;0,004656;69,423263;5660,516051
03.01.2022/15:00;137,72;6,433123;0,005121;108,966272;5671,699221
03.01.2022/16:00;137,48;5,297946;0,001985;127,153288;5702,428705
03.01.2022/17:00;143,73;-13,25876;0,002756;130,859282;5598,097435
03.01.2022/18:00;145,13;37,988087;0,003118;120,567283;5461,655443
03.01.2022/19:00;142,81;163,389234;0,004902;117,248286;5364,69931
03.01.2022/20:00;142,22;154,46564;0,00848;100,134288;5313,135992
03.01.2022/21:00;139,6;121,688243;0,003396;83,580266;5212,275894
03.01.2022/22:00;130,79;29,670424;0,00366;74,75128;5060,912962
03.01.2022/23:00;113,64;-16,908358;0,003046;75,608266;4920,481291
04.01.2022/00:00;131,71;48,104942;0,002383;89,477272;4735,742525
04.01.2022/01:00;131,87;40,108932;0,004812;102,322272;4620,019759
04.01.2022/02:00;128,56;-2,055726;0,007004;109,117276;4588,990886
04.01.2022/03:00;115,49;-50,716507;0,003367;100,514277;4614,205935
04.01.2022/04:00;113,38;-59,561379;0,002403;108,01827;4672,512797
04.01.2022/05:00;133,06;-51,516506;0,003026;116,932262;4855,93964
04.01.2022/06:00;156;-59,607018;0,003113;127,369264;5376,073055
04.01.2022/07:00;170;-115,046916;0,006291;144,360261;5935,04706
04.01.2022/08:00;185;-133,357252;0,004305;140,590259;6187,330053
04.01.2022/09:00;170,19;-166,524999;0,004783;114,424259;6187,407372
04.01.2022/10:00;169;-124,21194;0,064759;89,763258;6114,911149
04.01.2022/11:00;164,62;-78,091687;0,185424;90,627261;6017,501516
04.01.2022/12:00;168;29,198847;0,221742;79,83026;5933,962557
04.01.2022/13:00;163;-43,167498;0,145724;59,367256;5897,541792
04.01.2022/14:00;164,33;-57,169633;0,034281;48,347265;5919,300277
04.01.2022/15:00;171;-73,443985;0,001861;46,748265;6058,450935
04.01.2022/16:00;177,5;-100,878044;0,001394;44,008264;6192,574303
04.01.2022/17:00;178,6;-52,341713;0,001985;35,901264;6116,141055
04.01.2022/18:00;178,6;-48,487154;0,001121;41,851;6013,502185
04.01.2022/19:00;170;-74,739954;0,005893;33,426;5915,576206
04.01.2022/20:00;147;-120,446379;0,000865;20,276;5835,945104
04.01.2022/21:00;141,57;-111,605191;0,000913;12,196;5692,029287
04.01.2022/22:00;137,22;-133,038973;0,000481;7,71;5456,584904
04.01.2022/23:00;114,25;-110,036942;0,000043;2,632;5203,618573
05.01.2022/00:00;133,14;-25,303478;0,006006;3,92;4965,484655
05.01.2022/01:00;123,38;-31,886459;0,001014;1,444;4838,95444
05.01.2022/02:00;111,65;-26,974038;0,00134;0,436;4764,263836
05.01.2022/03:00;103,37;-30,159232;0,000741;0,12;4775,547229
05.01.2022/04:00;105,86;6,250438;0,001608;0,658;4769,799447
05.01.2022/05:00;121,68;-30,929685;0,005953;7,627;4923,643133
05.01.2022/06:00;138,33;-25,437015;0,001882;59,051257;5446,649608
05.01.2022/07:00;153,5;12,498644;0,001192;88,488262;6035,080078
05.01.2022/08:00;160;110,571546;0,002667;113,088261;6275,872121
05.01.2022/09:00;149;134,553115;0,003305;121,372264;6275,851528
05.01.2022/10:00;149;151,410705;0,054101;155,19427;6227,026689
05.01.2022/11:00;149;163,408832;0,219832;149,278268;6144,276572
05.01.2022/12:00;149;213,894005;0,305892;155,832272;6048,393686
05.01.2022/13:00;136,87;312,898065;0,228042;166,903267;5967,958141
05.01.2022/14:00;136,61;351,894374;0,036169;177,012269;5952,90472
05.01.2022/15:00;137,05;258,753846;0,00179;179,374268;6060,166352
05.01.2022/16:00;141,67;172,253866;0,007269;192,058267;6234,200717
05.01.2022/17:00;148,09;180,408908;0,002595;195,61927;6176,156386
05.01.2022/18:00;143,76;156,475326;0,0037;195,913272;6080,155151
