Date/Hour CET/CEST;Date/Hour UTC;MBA;Consumption Total;Metered;Profiled;Flex
01.01.2022/00:00;31.12.2021/23:00;NO1;4792,869828;4760,08144;32,788388;
01.01.2022/01:00;01.01.2022/00:00;NO1;4758,08574;4725,561588;32,524152;
01.01.2022/02:00;01.01.2022/01:00;NO1;4699,710585;4668,080522;31,630063;
01.01.2022/03:00;01.01.2022/02:00;NO1;4660,590629;4628,715111;31,875518;
01.01.2022/04:00;01.01.2022/03:00;NO1;4673,579369;4642,202275;31,377094;
01.01.2022/05:00;01.01.2022/04:00;NO1;4726,909882;4694,139102;32,77078;
01.01.2022/06:00;01.01.2022/05:00;NO1;4857,030848;4822,831116;34,199732;
01.01.2022/07:00;01.01.2022/06:00;NO1;4932,794613;4899,439144;33,355469;
01.01.2022/08:00;01.01.2022/07:00;NO1;5067,692675;5033,527215;34,16546;
01.01.2022/09:00;01.01.2022/08:00;NO1;5178,555808;5145,049408;33,5064;
01.01.2022/10:00;01.01.2022/09:00;NO1;5344,532619;5309,314019;35,2186;
01.01.2022/11:00;01.01.2022/10:00;NO1;5443,009105;5406,646331;36,362774;
01.01.2022/12:00;01.01.2022/11:00;NO1;5461,777621;5425,524965;36,252656;
01.01.2022/13:00;01.01.2022/12:00;NO1;5432,608459;5396,000336;36,608123;
01.01.2022/14:00;01.01.2022/13:00;NO1;5520,141749;5482,443706;37,698043;
01.01.2022/15:00;01.01.2022/14:00;NO1;5592,657353;5553,553825;39,103528;
01.01.2022/16:00;01.01.2022/15:00;NO1;5723,608623;5683,241484;40,367139;
01.01.2022/17:00;01.01.2022/16:00;NO1;5764,442332;5723,302249;41,140083;
01.01.2022/18:00;01.01.2022/17:00;NO1;5666,743174;5625,562458;41,180716;
01.01.2022/19:00;01.01.2022/18:00;NO1;5539,533323;5499,265637;40,267686;
01.01.2022/20:00;01.01.2022/19:00;NO1;5406,236231;5368,434556;37,801675;
01.01.2022/21:00;01.01.2022/20:00;NO1;5265,106133;5228,40259;36,703543;
01.01.2022/22:00;01.01.2022/21:00;NO1;5077,110645;5042,076026;35,034619;
01.01.2022/23:00;01.01.2022/22:00;NO1;4933,082405;4899,48174;33,600665;
02.01.2022/00:00;01.01.2022/23:00;NO1;4759,141913;4725,884691;33,257222;
02.01.2022/01:00;02.01.2022/00:00;NO1;4576,572465;4543,861892;32,710573;
02.01.2022/02:00;02.01.2022/01:00;NO1;4483,517701;4451,841366;31,676335;
02.01.2022/03:00;02.01.2022/02:00;NO1;4464,900629;4434,379923;30,520706;
02.01.2022/04:00;02.01.2022/03:00;NO1;4409,555695;4379,272012;30,283683;
02.01.2022/05:00;02.01.2022/04:00;NO1;4419,316034;4389,656046;29,659988;
02.01.2022/06:00;02.01.2022/05:00;NO1;4493,40703;4462,768255;30,638775;
02.01.2022/07:00;02.01.2022/06:00;NO1;4580,526131;4550,004326;30,521805;
02.01.2022/08:00;02.01.2022/07:00;NO1;4702,290387;4671,631455;30,658932;
