Date/Hour CET/CEST;Date/Hour UTC;MBA;Imbalance;Imbalance Purchase;Imbalance Sales
01.01.2022/00:00;31.12.2021/23:00;NO1;-18,177013;136,096136;154,273149
01.01.2022/01:00;01.01.2022/00:00;NO1;-59,943565;101,281554;161,225119
01.01.2022/02:00;01.01.2022/01:00;NO1;-75,072958;86,598606;161,671564
01.01.2022/03:00;01.01.2022/02:00;NO1;-63,208075;89,388485;152,59656
01.01.2022/04:00;01.01.2022/03:00;NO1;-20,137965;112,320601;132,458566
01.01.2022/05:00;01.01.2022/04:00;NO1;2,829898;128,414273;125,584375
01.01.2022/06:00;01.01.2022/05:00;NO1;27,044565;144,293741;117,249176
01.01.2022/07:00;01.01.2022/06:00;NO1;81,336011;175,2523;93,916289
01.01.2022/08:00;01.01.2022/07:00;NO1;64,83579;174,831543;109,995753
01.01.2022/09:00;01.01.2022/08:00;NO1;134,624681;245,776792;111,152111
01.01.2022/10:00;01.01.2022/09:00;NO1;107,983001;236,43348;128,450479
01.01.2022/11:00;01.01.2022/10:00;NO1;62,791115;207,275912;144,484797
01.01.2022/12:00;01.01.2022/11:00;NO1;102,160266;233,881345;131,721079
01.01.2022/13:00;01.01.2022/12:00;NO1;142,797803;290,806016;148,008213
01.01.2022/14:00;01.01.2022/13:00;NO1;60,464067;255,03857;194,574503
01.01.2022/15:00;01.01.2022/14:00;NO1;10,729099;245,382841;234,653742
01.01.2022/16:00;01.01.2022/15:00;NO1;46,118898;222,210681;176,091783
01.01.2022/17:00;01.01.2022/16:00;NO1;59,415635;196,583868;137,168233
01.01.2022/18:00;01.01.2022/17:00;NO1;128,22637;240,31386;112,08749
01.01.2022/19:00;01.01.2022/18:00;NO1;182,781105;268,258713;85,477608
01.01.2022/20:00;01.01.2022/19:00;NO1;95,138804;209,331722;114,192918
01.01.2022/21:00;01.01.2022/20:00;NO1;82,818672;207,633608;124,814936
01.01.2022/22:00;01.01.2022/21:00;NO1;76,390662;201,313963;124,923301
01.01.2022/23:00;01.01.2022/22:00;NO1;83,003049;228,513739;145,51069
02.01.2022/00:00;01.01.2022/23:00;NO1;-101,891323;148,887512;250,778835
02.01.2022/01:00;02.01.2022/00:00;NO1;-80,343759;136,948676;217,292435
02.01.2022/02:00;02.01.2022/01:00;NO1;-68,346416;147,428184;215,7746
02.01.2022/03:00;02.01.2022/02:00;NO1;-67,274526;129,581498;196,856024
02.01.2022/04:00;02.01.2022/03:00;NO1;-27,745108;169,634996;197,380104
02.01.2022/05:00;02.01.2022/04:00;NO1;-16,066986;200,528164;216,59515
02.01.2022/06:00;02.01.2022/05:00;NO1;46,226143;221,288946;175,062803
02.01.2022/07:00;02.01.2022/06:00;NO1;26,064615;215,544546;189,479931
02.01.2022/08:00;02.01.2022/07:00;NO1;49,980034;204,407355;154,427321
02.01.2022/09:00;02.01.2022/08:00;NO1;71,068379;216,589342;145,520963
02.01.2022/10:00;02.01.2022/09:00;NO1;114,169444;219,419558;105,250114
02.01.2022/11:00;02.01.2022/10:00;NO1;73,99049;212,866237;138,875747
02.01.2022/12:00;02.01.2022/11:00;NO1;8,225467;184,722089;176,496622
02.01.2022/13:00;02.01.2022/12:00;NO1;-5,082276;186,847449;191,929725
02.01.2022/14:00;02.01.2022/13:00;NO1;10,797508;193,106846;182,309338
02.01.2022/15:00;02.01.2022/14:00;NO1;27,470744;222,422688;194,951944
02.01.2022/16:00;02.01.2022/15:00;NO1;55,462507;237,875821;182,413314
02.01.2022/17:00;02.01.2022/16:00;NO1;121,353455;262,191329;140,837874
02.01.2022/18:00;02.01.2022/17:00;NO1;194,32949;289,109839;94,780349
02.01.2022/19:00;02.01.2022/18:00;NO1;286,582086;363,232153;76,650067
02.01.2022/20:00;02.01.2022/19:00;NO1;248,30152;355,524654;107,223134
02.01.2022/21:00;02.01.2022/20:00;NO1;225,097415;329,408032;104,310617
02.01.2022/22:00;02.01.2022/21:00;NO1;212,571379;337,792629;125,22125
02.01.2022/23:00;02.01.2022/22:00;NO1;366,047252;401,328547;35,281295
03.01.2022/00:00;02.01.2022/23:00;NO1;307,46564;336,313498;28,847858
03.01.2022/01:00;03.01.2022/00:00;NO1;396,799794;430,304318;33,504524
03.01.2022/02:00;03.01.2022/01:00;NO1;379,563156;422,575063;43,011907
03.01.2022/03:00;03.01.2022/02:00;NO1;392,964655;439,543868;46,579213
03.01.2022/04:00;03.01.2022/03:00;NO1;375,181906;415,324497;40,142591
03.01.2022/05:00;03.01.2022/04:00;NO1;242,502894;287,807218;45,304324
03.01.2022/06:00;03.01.2022/05:00;NO1;224,282791;322,760916;98,478125
03.01.2022/07:00;03.01.2022/06:00;NO1;216,82526;328,46117;111,63591
03.01.2022/08:00;03.01.2022/07:00;NO1;115,45191;248,901661;133,449751
03.01.2022/09:00;03.01.2022/08:00;NO1;98,236086;216,123632;117,887546
03.01.2022/10:00;03.01.2022/09:00;NO1;27,856121;169,507436;141,651315
03.01.2022/11:00;03.01.2022/10:00;NO1;-108,527825;97,981871;206,509696
03.01.2022/12:00;03.01.2022/11:00;NO1;-231,156855;87,293438;318,450293
03.01.2022/13:00;03.01.2022/12:00;NO1;-175,767481;127,291606;303,059087
03.01.2022/14:00;03.01.2022/13:00;NO1;-104,044441;113,752968;217,797409
03.01.2022/15:00;03.01.2022/14:00;NO1;6,433123;134,353632;127,920509
03.01.2022/16:00;03.01.2022/15:00;NO1;5,297946;163,182046;157,8841
03.01.2022/17:00;03.01.2022/16:00;NO1;-13,25876;222,734998;235,993758
03.01.2022/18:00;03.01.2022/17:00;NO1;37,988087;263,763294;225,775207
03.01.2022/19:00;03.01.2022/18:00;NO1;163,389234;292,848466;129,459232
03.01.2022/20:00;03.01.2022/19:00;NO1;154,46564;248,273358;93,807718
03.01.2022/21:00;03.01.2022/20:00;NO1;121,688243;227,462749;105,774506
03.01.2022/22:00;03.01.2022/21:00;NO1;29,670424;169,702873;140,032449
03.01.2022/23:00;03.01.2022/22:00;NO1;-16,908358;137,491932;154,40029
04.01.2022/00:00;03.01.2022/23:00;NO1;48,104942;149,254225;101,149283
04.01.2022/01:00;04.01.2022/00:00;NO1;40,108932;145,105112;104,99618
04.01.2022/02:00;04.01.2022/01:00;NO1;-2,055726;105,074545;107,130271
04.01.2022/03:00;04.01.2022/02:00;NO1;-50,716507;80,412411;131,128918
04.01.2022/04:00;04.01.2022/03:00;NO1;-59,561379;87,167498;146,728877
04.01.2022/05:00;04.01.2022/04:00;NO1;-51,516506;112,143674;163,66018
04.01.2022/06:00;04.01.2022/05:00;NO1;-59,607018;90,7902;150,397218
04.01.2022/07:00;04.01.2022/06:00;NO1;-115,046916;107,665967;222,712883
04.01.2022/08:00;04.01.2022/07:00;NO1;-133,357252;116,100779;249,458031
