Date/Hour CET/CEST;Date/Hour UTC;MBA;Production Total;Hydro;Nuclear;Solar;Thermal;Wind;Other
01.01.2022/00:00;31.12.2021/23:00;NO1;1464,492617;1291,422726;;0,007103;30,04992;143,012268;0,0006
01.01.2022/01:00;01.01.2022/00:00;NO1;1448,542176;1246,209427;;0,006957;29,96622;172,359272;0,0003
01.01.2022/02:00;01.01.2022/01:00;NO1;1453,537421;1271,757038;;0,005352;30,12376;151,651271;0
01.01.2022/03:00;01.01.2022/02:00;NO1;1394,882564;1204,25177;;0,011802;30,04672;160,572272;0
01.01.2022/04:00;01.01.2022/03:00;NO1;1380,141401;1202,086997;;0,00687;29,90726;148,140274;0
01.01.2022/05:00;01.01.2022/04:00;NO1;1413,639779;1235,810091;;0,007361;30,03406;147,788267;0
01.01.2022/06:00;01.01.2022/05:00;NO1;1362,675411;1205,996165;;0,004673;30,06226;126,612263;0,00005
01.01.2022/07:00;01.01.2022/06:00;NO1;1313,230627;1184,652506;;0,004582;30,06978;98,503259;0,0005
01.01.2022/08:00;01.01.2022/07:00;NO1;1313,628467;1222,066132;;0,008858;29,78762;61,765257;0,0006
01.01.2022/09:00;01.01.2022/08:00;NO1;1349,480184;1273,61809;;0,005348;29,27684;46,579256;0,00065
01.01.2022/10:00;01.01.2022/09:00;NO1;1324,81542;1263,399784;;0,007155;29,61272;31,795261;0,0005
01.01.2022/11:00;01.01.2022/10:00;NO1;1291,399818;1254,602141;;0,012957;19,81346;16,97026;0,001
01.01.2022/12:00;01.01.2022/11:00;NO1;1303,237874;1249,725926;;0,011638;18,7377;34,76226;0,00035
01.01.2022/13:00;01.01.2022/12:00;NO1;1296,106262;1211,675134;;0,007154;24,76156;59,662264;0,00015
01.01.2022/14:00;01.01.2022/13:00;NO1;1363,205819;1233,561488;;0,007583;28,72028;100,916268;0,0002
01.01.2022/15:00;01.01.2022/14:00;NO1;1436,486453;1284,946286;;0,004855;29,38174;122,153272;0,0003
01.01.2022/16:00;01.01.2022/15:00;NO1;1585,92752;1417,603545;;0,010271;29,73108;138,581274;0,00135
01.01.2022/17:00;01.01.2022/16:00;NO1;1569,757961;1407,63742;;0,005045;29,73452;132,380276;0,0007
01.01.2022/18:00;01.01.2022/17:00;NO1;1661,169538;1450,369023;;0,006447;29,57474;181,219278;0,00005
01.01.2022/19:00;01.01.2022/18:00;NO1;1523,614436;1303,579136;;0,008288;29,57504;190,451272;0,0007
01.01.2022/20:00;01.01.2022/19:00;NO1;1468,57473;1251,984399;;0,008986;29,09092;187,490275;0,00015
01.01.2022/21:00;01.01.2022/20:00;NO1;1419,124608;1207,899895;;0,010995;29,32824;181,885278;0,0002
01.01.2022/22:00;01.01.2022/21:00;NO1;1403,8012;1205,211331;;0,007341;29,3901;169,192278;0,00015
01.01.2022/23:00;01.01.2022/22:00;NO1;1426,585262;1231,670171;;0,007812;29,0419;165,865279;0,0001
02.01.2022/00:00;01.01.2022/23:00;NO1;1430,550601;1247,907641;;0,003767;29,00192;153,636273;0,001
02.01.2022/01:00;02.01.2022/00:00;NO1;1394,428396;1280,193643;;0,003884;29,49396;84,735259;0,00165
02.01.2022/02:00;02.01.2022/01:00;NO1;1348,071091;1274,828545;;0,003211;29,33208;43,907255;0
02.01.2022/03:00;02.01.2022/02:00;NO1;1315,326109;1258,595545;;0,008248;29,74206;26,980256;0
02.01.2022/04:00;02.01.2022/03:00;NO1;1304,210595;1244,885539;;0,003983;29,60782;29,713253;0
02.01.2022/05:00;02.01.2022/04:00;NO1;1278,049038;1215,940648;;0,00235;29,60704;32,499;0
02.01.2022/06:00;02.01.2022/05:00;NO1;1300,533173;1242,27442;;0,002093;29,44266;28,814;0
02.01.2022/07:00;02.01.2022/06:00;NO1;1281,490451;1222,259253;;0,003478;29,14372;30,084;0
02.01.2022/08:00;02.01.2022/07:00;NO1;1365,170423;1304,974306;;0,003281;29,51648;30,676256;0,0001
02.01.2022/09:00;02.01.2022/08:00;NO1;1378,846472;1317,443786;;0,006497;29,83568;31,560259;0,00025
02.01.2022/10:00;02.01.2022/09:00;NO1;1411,723134;1350,834177;;0,004277;29,95978;30,924;0,0009
02.01.2022/11:00;02.01.2022/10:00;NO1;1384,367493;1326,897971;;0,006092;30,11028;27,352;0,00115
02.01.2022/12:00;02.01.2022/11:00;NO1;1388,482638;1330,563849;;0,006589;30,111;27,801;0,0002
