Solar,Wind,Consumption Total
0.007103,143.012268,4792.869828
0.006957,172.359272,4758.08574
0.005352,151.651271,4699.710585
0.011802,160.572272,4660.590629
0.00687,148.140274,4673.579369
0.007361,147.788267,4726.909882
0.004673,126.612263,4857.030848
0.004582,98.503259,4932.794613
0.008858,61.765257,5067.692675
0.005348,46.579256,5178.555808
0.007155,31.795261,5344.532619
0.012957,16.97026,5443.009105
0.011638,34.76226,5461.777621
0.007154,59.662264,5432.608459
0.007583,100.916268,5520.141749
0.004855,122.153272,5592.657353
0.010271,138.581274,5723.608623
0.005045,132.380276,5764.442332
0.006447,181.219278,5666.743174
0.008288,190.451272,5539.533323
0.008986,187.490275,5406.236231
0.010995,181.885278,5265.106133
0.007341,169.192278,5077.110645
0.007812,165.865279,4933.082405
0.003767,153.636273,4759.141913
0.003884,84.735259,4576.572465
0.003211,43.907255,4483.517701
0.008248,26.980256,4464.900629
0.003983,29.713253,4409.555695
0.00235,32.499,4419.316034
0.002093,28.814,4493.40703
0.003478,30.084,4580.526131
0.003281,30.676256,4702.290387
0.006497,31.560259,4848.878085
0.004277,30.924,4974.353688
0.006092,27.352,5093.477204
0.006589,27.801,5148.657176
0.006479,42.594,5158.720295
0.003301,41.723262,5189.408249
0.005073,49.707269,5301.057149
0.002642,64.122266,5421.750681
0.003435,73.450267,5397.062737
0.003388,85.504271,5290.845745
0.004982,114.225273,5181.635913
0.003517,125.277273,5161.200101
0.004471,119.775272,5079.907323
0.007516,127.164274,4932.426194
0.003126,134.657271,4747.048809
0.005087,134.148271,4538.806232
0.005279,139.734268,4408.369566
0.003921,146.728269,4328.057524
0.003267,140.263272,4295.678776
0.002248,124.162265,4349.336037
0.007123,91.336258,4510.314044
0.003594,66.666257,4985.711767
0.002726,82.984258,5491.249286
0.002747,83.621261,5750.12365
0.003693,80.731264,5783.826052
0.004253,82.412265,5777.549338
0.002839,63.417262,5751.433694
0.014467,46.281259,5732.823005
0.012188,53.49326,5672.768194
0.004656,69.423263,5660.516051
0.005121,108.966272,5671.699221
0.001985,127.153288,5702.428705
0.002756,130.859282,5598.097435
0.003118,120.567283,5461.655443
0.004902,117.248286,5364.69931
0.00848,100.134288,5313.135992
0.003396,83.580266,5212.275894
0.00366,74.75128,5060.912962
0.003046,75.608266,4920.481291
0.002383,89.477272,4735.742525
0.004812,102.322272,4620.019759
0.007004,109.117276,4588.990886
